"TranscriptID","Strand","TranscriptLocation","CDSID","CDSLocation","AdditionalInformation","AssociatedFunction","OrthoLmjF","OrthoLdHU3"
"LmjF.31.T0070","-","LmjF.31:18975..22223","LmjF.31.0070","LmjF.31:19041..21893","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.31.T0070.html"" target=""_blank""> Click for Additional information</a>","helicase-like protein ","N/A","LDHU3_31.0100"
"LmjF.31.T0550","-","LmjF.31:193610..198570","LmjF.31.0550","LmjF.31:194542..198348","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.31.T0550.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_31.0820"
"LmjF.31.T0560","-","LmjF.31:198862..200314","LmjF.31.0560","LmjF.31:199132..200121","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.31.T0560.html"" target=""_blank""> Click for Additional information</a>","mevalonate kinase, putative ","N/A","LDHU3_31.0830"
"LmjF.31.T0565","-","LmjF.31:200593..200926","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.31.T0565.html"" target=""_blank""> Click for Additional information</a>","N/A ","N/A","N/A"
"LmjF.31.T0570","-","LmjF.31:201145..203058","LmjF.31.0570","LmjF.31:201590..203008","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.31.T0570.html"" target=""_blank""> Click for Additional information</a>","amino acid transporter aATP11, putative (AAT25.1) ","N/A","LDHU3_31.0900"
"LmjF.31.TsnRNA.01","-","LmjF.31:203581..204007","LmjF.31.snRNA.01","LmjF.31:203589..203722","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.31.TsnRNA.01.html"" target=""_blank""> Click for Additional information</a>","small nuclear RNA, U2 snRNA ","N/A","N/A"
"LmjF.31.T0577","-","LmjF.31:204008..205939","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.31.T0577.html"" target=""_blank""> Click for Additional information</a>","N/A ","N/A","N/A"
"LmjF.31.T0010","-","LmjF.31:2045..5608","LmjF.31.0010","LmjF.31:3246..5558","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.31.T0010.html"" target=""_blank""> Click for Additional information</a>","5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase ","N/A","LDHU3_31.0030"
"LmjF.31.T0580","-","LmjF.31:206342..209232","LmjF.31.0580","LmjF.31:207417..209042","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.31.T0580.html"" target=""_blank""> Click for Additional information</a>","amino acid transporter aATP11, putative (AAT25.2) ","N/A","LDHU3_31.0910"
"LmjF.31.T0590","-","LmjF.31:209652..210732","LmjF.31.0590","LmjF.31:209869..210693","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.31.T0590.html"" target=""_blank""> Click for Additional information</a>","C-5 sterol desaturase, putative ","N/A","LDHU3_31.0920"
"LmjF.31.T0600","-","LmjF.31:211141..212725","LmjF.31.0600","LmjF.31:211277..212653","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.31.T0600.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_31.0930"
"LmjF.31.T0610","-","LmjF.31:213031..214914","LmjF.31.0610","LmjF.31:213136..214821","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.31.T0610.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_31.0940"
"LmjF.31.T0620","-","LmjF.31:215302..217885","LmjF.31.0620","LmjF.31:215323..217773","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.31.T0620.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_31.0950"
"LmjF.31.T0630","-","LmjF.31:218192..221131","LmjF.31.0630","LmjF.31:218292..221324","<a href=""http://leish-esp.cbm.uam.es/GrupoC_sub1/LmjF.31.T0630.html"" target=""_blank""> Click for Additional information</a>","mitochondrial RNA binding complex 1 subunit, putative ","N/A","LDHU3_31.0960"
"LmjF.31.T0640","-","LmjF.31:221452..224718","LmjF.31.0640","LmjF.31:221802..224990","<a href=""http://leish-esp.cbm.uam.es/GrupoC_sub1/LmjF.31.T0640.html"" target=""_blank""> Click for Additional information</a>","mitochondrial RNA binding protein, putative ","N/A","LDHU3_31.0970"
"LmjF.31.T0650","-","LmjF.31:225191..226369","LmjF.31.0650","LmjF.31:225250..226257","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.31.T0650.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_31.0980"
"LmjF.31.T0080","-","LmjF.31:22574..24410","LmjF.31.0080","LmjF.31:23671..24366","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.31.T0080.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_31.0110"
"LmjF.31.T0660","-","LmjF.31:226678..234111","LmjF.31.0660","LmjF.31:227503..233232","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.31.T0660.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_31.0990"
"LmjF.31.T0663","-","LmjF.31:234112..235082","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.31.T0663.html"" target=""_blank""> Click for Additional information</a>","N/A ","N/A","N/A"
"LmjF.31.T0670","-","LmjF.31:235399..239591","LmjF.31.0670","LmjF.31:235673..239266","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.31.T0670.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_31.1000"
"LmjF.31.T0680","-","LmjF.31:239901..241759","LmjF.31.0680","LmjF.31:240880..241683","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.31.T0680.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_31.1010"
"LmjF.31.T0690","-","LmjF.31:242065..243991","LmjF.31.0690","LmjF.31:242493..244085","<a href=""http://leish-esp.cbm.uam.es/GrupoC_sub1/LmjF.31.T0690.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_31.1020"
"LmjF.31.T0700","-","LmjF.31:244228..247750","LmjF.31.0700","LmjF.31:244600..247257","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.31.T0700.html"" target=""_blank""> Click for Additional information</a>","ATP-dependent zinc metallopeptidase, putative ","N/A","LDHU3_31.1030"
"LmjF.31.T0090","-","LmjF.31:24725..26679","LmjF.31.0090","LmjF.31:25070..26548","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.31.T0090.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_31.0120"
"LmjF.31.T0705","-","LmjF.31:248071..250672","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.31.T0705.html"" target=""_blank""> Click for Additional information</a>","N/A ","N/A","N/A"
"LmjF.31.T0710","-","LmjF.31:250998..253981","LmjF.31.0710","LmjF.31:253198..253587","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.31.T0710.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, unknown function ","N/A","LDHU3_31.1080"
"LmjF.31.T0715","-","LmjF.31:254352..255415","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.31.T0715.html"" target=""_blank""> Click for Additional information</a>","N/A ","N/A","N/A"
"LmjF.31.T0720","-","LmjF.31:255754..261347","LmjF.31.0720","LmjF.31:258241..261180","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.31.T0720.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_31.1100"
"LmjF.31.T0730","-","LmjF.31:261632..263862","LmjF.31.0730","LmjF.31:263200..263535","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.31.T0730.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, unknown function ","N/A","LDHU3_31.1110"
"LmjF.31.T0740","-","LmjF.31:264239..265868","LmjF.31.0740","LmjF.31:264663..265622","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.31.T0740.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_31.1120"
"LmjF.31.T0745","-","LmjF.31:266202..267594","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.31.T0745.html"" target=""_blank""> Click for Additional information</a>","N/A ","N/A","N/A"
"LmjF.31.T0750","-","LmjF.31:267908..269717","LmjF.31.0750","LmjF.31:268609..269502","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.31.T0750.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, unknown function ","N/A","LDHU3_31.1140"
"LmjF.31.T0100","-","LmjF.31:26878..28200","LmjF.31.0100","LmjF.31:27077..28171","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.31.T0100.html"" target=""_blank""> Click for Additional information</a>","O-sialoglycoprotein endopeptidase, putative ","N/A","LDHU3_31.0130"
"LmjF.31.T0755","-","LmjF.31:270148..272306","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.31.T0755.html"" target=""_blank""> Click for Additional information</a>","N/A ","N/A","N/A"
"LmjF.31.T0760","-","LmjF.31:272629..275249","LmjF.31.0760","LmjF.31:274233..275135","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.31.T0760.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, unknown function ","N/A","LDHU3_31.1170"
"LmjF.31.T0765","-","LmjF.31:275530..279327","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.31.T0765.html"" target=""_blank""> Click for Additional information</a>","N/A ","N/A","N/A"
"LmjF.31.T0770","-","LmjF.31:279557..281657","LmjF.31.0770","LmjF.31:280516..281409","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.31.T0770.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","N/A"
"LmjF.31.T0780","-","LmjF.31:281954..283502","LmjF.31.0780","LmjF.31:282448..283272","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.31.T0780.html"" target=""_blank""> Click for Additional information</a>","c2 domain protein, putative ","N/A","LDHU3_31.1200"
"LmjF.31.T0105","-","LmjF.31:28201..28842","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.31.T0105.html"" target=""_blank""> Click for Additional information</a>","N/A ","N/A","N/A"
"LmjF.31.T0790","-","LmjF.31:283796..285363","LmjF.31.0790","LmjF.31:284338..285204","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.31.T0790.html"" target=""_blank""> Click for Additional information</a>","c2 domain protein, putative ","N/A","LDHU3_31.1210"
"LmjF.31.T0795","-","LmjF.31:285702..288029","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.31.T0795.html"" target=""_blank""> Click for Additional information</a>","N/A ","N/A","N/A"
"LmjF.31.T0800","-","LmjF.31:288279..291767","LmjF.31.0800","LmjF.31:289685..291457","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.31.T0800.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_31.1240"
"LmjF.31.T0110","-","LmjF.31:29149..31808","LmjF.31.0110","LmjF.31:29328..31685","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.31.T0110.html"" target=""_blank""> Click for Additional information</a>","intergrin alpha chain protein, putative ","N/A","LDHU3_31.0150"
"LmjF.31.T0810","-","LmjF.31:292107..294990","LmjF.31.0810","LmjF.31:292899..294788","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.31.T0810.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_31.1250"
"LmjF.31.T0820","-","LmjF.31:295363..299917","LmjF.31.0820","LmjF.31:297195..297941","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.31.T0820.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_31.1260"
"LmjF.31.T0830","-","LmjF.31:300311..301643","LmjF.31.0830","LmjF.31:300619..301545","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.31.T0830.html"" target=""_blank""> Click for Additional information</a>","lipase, putative ","N/A","LDHU3_31.1280"
"LmjF.31.T0840","-","LmjF.31:302039..304292","LmjF.31.0840","LmjF.31:303205..304044","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.31.T0840.html"" target=""_blank""> Click for Additional information</a>","lipase precursor-like protein ","N/A","LDHU3_31.1300"
"LmjF.31.T0845","-","LmjF.31:304681..307232","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.31.T0845.html"" target=""_blank""> Click for Additional information</a>","N/A ","N/A","N/A"
"LmjF.31.T0850","-","LmjF.31:307664..309557","LmjF.31.0850","LmjF.31:307999..309309","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.31.T0850.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein ","N/A","LDHU3_31.1330"
"LmjF.31.T0855","-","LmjF.31:313068..313927","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.31.T0855.html"" target=""_blank""> Click for Additional information</a>","N/A ","N/A","N/A"
"LmjF.31.T0857","-","LmjF.31:314372..315230","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.31.T0857.html"" target=""_blank""> Click for Additional information</a>","N/A ","N/A","N/A"
"LmjF.31.T0860","-","LmjF.31:315531..317820","LmjF.31.0860","LmjF.31:315900..317732","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.31.T0860.html"" target=""_blank""> Click for Additional information</a>","ras-like small GTPases, putative ","N/A","LDHU3_31.1400"
"LmjF.31.T0870","-","LmjF.31:318188..323926","LmjF.31.0870","LmjF.31:322189..323631","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.31.T0870.html"" target=""_blank""> Click for Additional information</a>","amino acid permease 3 (AAP3) ","N/A","LDHU3_31.1430"
"LmjF.31.T0120","-","LmjF.31:32012..32605","LmjF.31.0120","LmjF.31:32125..32508","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.31.T0120.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_31.0160"
"LmjF.31.T0875","-","LmjF.31:324095..325338","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.31.T0875.html"" target=""_blank""> Click for Additional information</a>","N/A ","N/A","N/A"
"LmjF.31.T0880","-","LmjF.31:325728..329307","LmjF.31.0880","LmjF.31:327730..329172","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.31.T0880.html"" target=""_blank""> Click for Additional information</a>","amino acid permease 3 (AAP3) ","N/A","LDHU3_31.1450"
"LmjF.31.T0130","-","LmjF.31:32873..35723","LmjF.31.0130","LmjF.31:33044..35524","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.31.T0130.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, unknown function ","N/A","LDHU3_31.0170"
"LmjF.31.T0885","-","LmjF.31:329308..330030","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.31.T0885.html"" target=""_blank""> Click for Additional information</a>","N/A ","N/A","N/A"
"LmjF.31.T0890","-","LmjF.31:330341..331402","LmjF.31.0890","LmjF.31:330668..331144","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.31.T0890.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_31.1460"
"LmjF.31.T0900","-","LmjF.31:331925..333243","LmjF.31.0900","LmjF.31:332843..333082","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.31.T0900.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_31.1640"
"LmjF.31.T0905","-","LmjF.31:333523..334780","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.31.T0905.html"" target=""_blank""> Click for Additional information</a>","N/A ","N/A","N/A"
"LmjF.31.T0907","-","LmjF.31:334781..335351","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.31.T0907.html"" target=""_blank""> Click for Additional information</a>","N/A ","N/A","N/A"
"LmjF.31.T0910","-","LmjF.31:335758..337866","LmjF.31.0910","LmjF.31:337138..337644","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.31.T0910.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, unknown function ","N/A","LDHU3_31.1490"
"LmjF.31.T0920","-","LmjF.31:338065..343036","LmjF.31.0920","LmjF.31:340961..342826","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.31.T0920.html"" target=""_blank""> Click for Additional information</a>","sodium stibogluconate resistance protein, putative ","N/A","LDHU3_31.1500"
"LmjF.31.T0925","-","LmjF.31:343321..346011","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.31.T0925.html"" target=""_blank""> Click for Additional information</a>","N/A ","N/A","N/A"
"LmjF.31.T0930","-","LmjF.31:346572..351803","LmjF.31.0930","LmjF.31:349728..351593","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.31.T0930.html"" target=""_blank""> Click for Additional information</a>","sodium stibogluconate resistance protein, putative ","N/A","N/A"
"LmjF.31.T0940","-","LmjF.31:352087..354776","LmjF.31.0940","LmjF.31:353775..354686","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.31.T0940.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein ","N/A","LDHU3_31.1510"
"LmjF.31.T0950","-","LmjF.31:355328..359458","LmjF.31.0950","LmjF.31:357384..359249","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.31.T0950.html"" target=""_blank""> Click for Additional information</a>","sodium stibogluconate resistance protein, putative ","N/A","LDHU3_31.1560"
"LmjF.31.T0140","-","LmjF.31:35925..37711","LmjF.31.0140","LmjF.31:36206..37579","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.31.T0140.html"" target=""_blank""> Click for Additional information</a>","ubiquitin hydrolase, putative ","N/A","LDHU3_31.0180"
"LmjF.31.T0955","-","LmjF.31:359741..362433","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.31.T0955.html"" target=""_blank""> Click for Additional information</a>","N/A ","N/A","N/A"
"LmjF.31.T0960","-","LmjF.31:362988..367127","LmjF.31.0960","LmjF.31:365052..366917","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.31.T0960.html"" target=""_blank""> Click for Additional information</a>","sodium stibogluconate resistance protein, putative ","N/A","LDHU3_31.1590"
"LmjF.31.T0962","-","LmjF.31:367410..369328","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.31.T0962.html"" target=""_blank""> Click for Additional information</a>","N/A ","N/A","N/A"
"LmjF.31.T0964","-","LmjF.31:369748..371570","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.31.T0964.html"" target=""_blank""> Click for Additional information</a>","N/A ","N/A","N/A"
"LmjF.31.T0970","-","LmjF.31:371921..374941","LmjF.31.0970","LmjF.31:372099..374747","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.31.T0970.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_31.1650"
"LmjF.31.T0980","-","LmjF.31:375271..378635","LmjF.31.0980","LmjF.31:376013..378322","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.31.T0980.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_31.1660"
"LmjF.31.T0990","-","LmjF.31:378877..381069","LmjF.31.0990","LmjF.31:379293..380510","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.31.T0990.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, unknown function ","N/A","LDHU3_31.1670"
"LmjF.31.T0150","-","LmjF.31:38083..39426","LmjF.31.0150","LmjF.31:38241..39209","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.31.T0150.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_31.0190"
"LmjF.31.T1000","-","LmjF.31:381238..385284","LmjF.31.1000","LmjF.31:381689..385042","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.31.T1000.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_31.1680"
"LmjF.31.T1010","-","LmjF.31:385539..388174","LmjF.31.1010","LmjF.31:385868..388123","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.31.T1010.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_31.1690"
"LmjF.31.T1020","-","LmjF.31:388523..396159","LmjF.31.1020","LmjF.31:392279..395134","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.31.T1020.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_31.1700"
"LmjF.31.T0160","-","LmjF.31:39639..43799","LmjF.31.0160","LmjF.31:40121..43678","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.31.T0160.html"" target=""_blank""> Click for Additional information</a>","DNA-directed RNA polymerase II subunit 2, putative ","N/A","LDHU3_31.0200"
"LmjF.31.T1025","-","LmjF.31:396530..398757","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.31.T1025.html"" target=""_blank""> Click for Additional information</a>","N/A ","N/A","N/A"
"LmjF.31.T1030","-","LmjF.31:398798..408722","LmjF.31.1030","LmjF.31:399111..401819","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.31.T1030.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_31.1730"
"LmjF.31.T1040","-","LmjF.31:408961..413870","LmjF.31.1040","LmjF.31:410138..412450","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.31.T1040.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_31.1750"
"LmjF.31.T1050","-","LmjF.31:414287..417003","LmjF.31.1050","LmjF.31:415453..416616","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.31.T1050.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, unknown function ","N/A","LDHU3_31.1760"
"LmjF.31.T1060","-","LmjF.31:417339..420477","LmjF.31.1060","LmjF.31:418222..419850","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.31.T1060.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_31.1770"
"LmjF.31.T1065","-","LmjF.31:420478..421087","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.31.T1065.html"" target=""_blank""> Click for Additional information</a>","N/A ","N/A","N/A"
"LmjF.31.T1070","-","LmjF.31:421101..422800","LmjF.31.1070","LmjF.31:421744..422535","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.31.T1070.html"" target=""_blank""> Click for Additional information</a>","biotin/lipoate protein ligase-like protein ","N/A","LDHU3_31.1790"
"LmjF.31.T1080","-","LmjF.31:423081..426906","LmjF.31.1080","LmjF.31:423697..426621","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.31.T1080.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_31.1800"
"LmjF.31.T1090","-","LmjF.31:427382..433896","LmjF.31.1090","LmjF.31:429673..431613","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.31.T1090.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_31.1810"
"LmjF.31.T1095","-","LmjF.31:434196..436206","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.31.T1095.html"" target=""_blank""> Click for Additional information</a>","N/A ","N/A","N/A"
"LmjF.31.T1100","-","LmjF.31:436390..438750","LmjF.31.1100","LmjF.31:437514..438659","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.31.T1100.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_31.1830"
"LmjF.31.T1110","-","LmjF.31:439059..440238","LmjF.31.1110","LmjF.31:439410..440057","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.31.T1110.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_31.1840"
"LmjF.31.T1120","-","LmjF.31:440685..441876","LmjF.31.1120","LmjF.31:441025..441495","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.31.T1120.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_31.1850"
"LmjF.31.T0170","-","LmjF.31:44103..47283","LmjF.31.0170","LmjF.31:45477..47003","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.31.T0170.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_31.0220"
"LmjF.31.T1130","-","LmjF.31:442255..445228","LmjF.31.1130","LmjF.31:443635..444852","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.31.T1130.html"" target=""_blank""> Click for Additional information</a>","N-acyl-L-amino acid amidohydrolase, putative ","N/A","LDHU3_31.1890"
"LmjF.31.T1140","-","LmjF.31:445586..447551","LmjF.31.1140","LmjF.31:446427..447362","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.31.T1140.html"" target=""_blank""> Click for Additional information</a>","monoglyceride lipase, putative ","N/A","LDHU3_31.1900"
"LmjF.31.T1150","-","LmjF.31:447909..451764","LmjF.31.1150","LmjF.31:448021..451344","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.31.T1150.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_31.1910"
"LmjF.31.T1160","-","LmjF.31:452057..456555","LmjF.31.1160","LmjF.31:454453..456342","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.31.T1160.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, unknown function ","N/A","LDHU3_31.1920"
"LmjF.31.T1165","-","LmjF.31:456817..458042","LmjF.31.1165","LmjF.31:457496..457933","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.31.T1165.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein ","N/A","LDHU3_31.1930"
"LmjF.31.T1167","-","LmjF.31:458043..458581","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.31.T1167.html"" target=""_blank""> Click for Additional information</a>","N/A ","N/A","N/A"
"LmjF.31.T1170","-","LmjF.31:458997..460969","LmjF.31.1170","LmjF.31:460507..460845","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.31.T1170.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, unknown function ","N/A","LDHU3_31.1950"
