"TranscriptID","Strand","TranscriptLocation","CDSID","CDSLocation","AdditionalInformation","AssociatedFunction"
"LmjF.27.T2665",".","LmjF.27:1133418..1134103","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.27.T2665.html"" target=""_blank""> Click for Additional information</a>","N/A "
"LmjF.28.T0002",".","LmjF.28:3..657","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.28.T0002.html"" target=""_blank""> Click for Additional information</a>","N/A "
"LmjF.28.T0005",".","LmjF.28:2024..3346","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.28.T0005.html"" target=""_blank""> Click for Additional information</a>","N/A "
"LmjF.28.T0010","+","LmjF.28:3347..5186","LmjF.28.0010","LmjF.28:3429..5081","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.28.T0010.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.28.T0020","+","LmjF.28:5424..6308","LmjF.28.0020","LmjF.28:5696..6097","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.28.T0020.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.28.T0030","+","LmjF.28:6624..8057","LmjF.28.0030","LmjF.28:6643..7938","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.28.T0030.html"" target=""_blank""> Click for Additional information</a>","cell division cycle 6 (CDC6), putative "
"LmjF.28.T0040","+","LmjF.28:8357..11355","LmjF.28.0040","LmjF.28:8368..11118","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.28.T0040.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.28.T0050","+","LmjF.28:11769..13709","LmjF.28.0050","LmjF.28:11936..13402","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.28.T0050.html"" target=""_blank""> Click for Additional information</a>","dynein regulatory complex subunit, putative "
"LmjF.28.T0060","+","LmjF.28:14012..15829","LmjF.28.0060","LmjF.28:14192..15649","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.28.T0060.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.28.T0070","+","LmjF.28:16166..18032","LmjF.28.0070","LmjF.28:16280..17830","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.28.T0070.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.28.T0080","+","LmjF.28:18203..26645","LmjF.28.0080","LmjF.28:18969..24635","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.28.T0080.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, unknown function "
"LmjF.28.T0090","+","LmjF.28:26885..30308","LmjF.28.0090","LmjF.28:27737..29587","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.28.T0090.html"" target=""_blank""> Click for Additional information</a>","adenylate cyclase-like protein "
"LmjF.28.T0100","+","LmjF.28:30623..31161","LmjF.28.0100","LmjF.28:30700..30933","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.28.T0100.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.28.T0110","+","LmjF.28:31636..32909","LmjF.28.0110","LmjF.28:31856..32473","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.28.T0110.html"" target=""_blank""> Click for Additional information</a>","proteasome beta 3 subunit, putative "
"LmjF.28.T0120","+","LmjF.28:33374..34141","LmjF.28.0120","LmjF.28:33542..33964","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.28.T0120.html"" target=""_blank""> Click for Additional information</a>","DNA-direcetd RNA polymerase II, subunit 9, putative "
"LmjF.28.T0130","+","LmjF.28:34431..35690","LmjF.28.0130","LmjF.28:34698..35246","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.28.T0130.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.28.T0140","+","LmjF.28:36017..41914","LmjF.28.0140","LmjF.28:36083..40468","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.28.T0140.html"" target=""_blank""> Click for Additional information</a>","pantothenate kinase subunit, putative "
"LmjF.28.T0150","+","LmjF.28:42161..44796","LmjF.28.0150","LmjF.28:42463..44049","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.28.T0150.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.28.T0160","+","LmjF.28:45067..46182","LmjF.28.0160","LmjF.28:45405..45995","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.28.T0160.html"" target=""_blank""> Click for Additional information</a>","RNA binding protein, putative "
"LmjF.28.T0165","+","LmjF.28:46521..48023","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.28.T0165.html"" target=""_blank""> Click for Additional information</a>","N/A "
"LmjF.28.T0170","+","LmjF.28:48230..50526","LmjF.28.0170","LmjF.28:48268..49542","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.28.T0170.html"" target=""_blank""> Click for Additional information</a>","phopshatase, putative "
"LmjF.28.T0180","+","LmjF.28:50843..52913","LmjF.28.0180","LmjF.28:50838..51476","<a href=""http://leish-esp.cbm.uam.es/GrupoC_sub1/LmjF.28.T0180.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.28.T0190","+","LmjF.28:52371..58818","LmjF.28.0190","LmjF.28:53821..55374","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.28.T0190.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, unknown function "
"LmjF.28.T0197","+","LmjF.28:59020..60662","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.28.T0197.html"" target=""_blank""> Click for Additional information</a>","N/A "
"LmjF.28.T0200","+","LmjF.28:61009..64049","LmjF.28.0200","LmjF.28:61143..62957","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.28.T0200.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.28.T0205","+","LmjF.28:64301..65095","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.28.T0205.html"" target=""_blank""> Click for Additional information</a>","N/A "
"LmjF.28.T0210","+","LmjF.28:65609..66906","LmjF.28.0210","LmjF.28:65650..66078","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.28.T0210.html"" target=""_blank""> Click for Additional information</a>","histone H2B variant "
"LmjF.28.T0215","+","LmjF.28:67279..68689","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.28.T0215.html"" target=""_blank""> Click for Additional information</a>","N/A "
"LmjF.28.T0220","+","LmjF.28:68940..70635","LmjF.28.0220","LmjF.28:69153..70220","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.28.T0220.html"" target=""_blank""> Click for Additional information</a>","palmitoyl acyltransferase 9, putative "
"LmjF.28.T0230","+","LmjF.28:70953..74243","LmjF.28.0230","LmjF.28:71386..72369","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.28.T0230.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, unknown function "
"LmjF.28.T0240","+","LmjF.28:74507..81162","LmjF.28.0240","LmjF.28:75035..76861","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.28.T0240.html"" target=""_blank""> Click for Additional information</a>","glycerol-3-phosphate dehydrogenase (FAD-dependent), mitochondrial "
"LmjF.28.T0250","+","LmjF.28:81526..83492","LmjF.28.0250","LmjF.28:81974..82867","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.28.T0250.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.28.T0260","+","LmjF.28:83890..87987","LmjF.28.0260","LmjF.28:84467..87655","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.28.T0260.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.28.T0265","+","LmjF.28:88280..88468","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.28.T0265.html"" target=""_blank""> Click for Additional information</a>","N/A "
"LmjF.28.T0270","+","LmjF.28:88805..90892","LmjF.28.0270","LmjF.28:89108..89755","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.28.T0270.html"" target=""_blank""> Click for Additional information</a>","phosphoadenosine phosphosulfate reductase-like protein "
"LmjF.28.T0280","+","LmjF.28:91219..92284","LmjF.28.0280","LmjF.28:91367..92017","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.28.T0280.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.28.T0290","+","LmjF.28:92610..93525","LmjF.28.0290","LmjF.28:92681..93439","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.28.T0290.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.28.T0300","+","LmjF.28:94030..96561","LmjF.28.0300","LmjF.28:94445..96340","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.28.T0300.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.28.T0310","+","LmjF.28:97003..99054","LmjF.28.0310","LmjF.28:97696..98649","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.28.T0310.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.28.T0320","+","LmjF.28:99466..100998","LmjF.28.0320","LmjF.28:99610..100638","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.28.T0320.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.28.T0330","+","LmjF.28:101494..105307","LmjF.28.0330","LmjF.28:101953..104715","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.28.T0330.html"" target=""_blank""> Click for Additional information</a>","rrp44p homologue, putative "
"LmjF.28.T0340","+","LmjF.28:105759..109638","LmjF.28.0340","LmjF.28:105996..109457","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.28.T0340.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.28.T0345","+","LmjF.28:109899..110773","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.28.T0345.html"" target=""_blank""> Click for Additional information</a>","N/A "
"LmjF.28.T0350","+","LmjF.28:111134..111996","LmjF.28.0350","LmjF.28:111173..111901","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.28.T0350.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, unknown function "
"LmjF.28.T0360","-","LmjF.28:112519..113494","LmjF.28.0360","LmjF.28:112523..113386","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.28.T0360.html"" target=""_blank""> Click for Additional information</a>","ubiquitin activating enzyme, putative "
"LmjF.28.T0370","-","LmjF.28:113748..115069","LmjF.28.0370","LmjF.28:114434..114811","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.28.T0370.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, unknown function "
"LmjF.28.T0380","-","LmjF.28:115465..117184","LmjF.28.0380","LmjF.28:115711..116889","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.28.T0380.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.28.T0385","-","LmjF.28:117254..118571","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.28.T0385.html"" target=""_blank""> Click for Additional information</a>","N/A "
"LmjF.28.T0390","-","LmjF.28:118864..122701","LmjF.28.0390","LmjF.28:119643..122432","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.28.T0390.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.28.T0400","-","LmjF.28:123122..125339","LmjF.28.0400","LmjF.28:123554..125197","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.28.T0400.html"" target=""_blank""> Click for Additional information</a>","katanin, putative "
"LmjF.28.T0406","-","LmjF.28:125704..128017","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.28.T0406.html"" target=""_blank""> Click for Additional information</a>","N/A "
"LmjF.28.T0410","-","LmjF.28:128018..140277","LmjF.28.0410","LmjF.28:134719..136686","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.28.T0410.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.28.T0420","-","LmjF.28:140689..142504","LmjF.28.0420","LmjF.28:140783..142150","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.28.T0420.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved (pseudogene) "
"LmjF.28.T0430","-","LmjF.28:142413..144549","LmjF.28.0430","LmjF.28:143040..144320","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.28.T0430.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.28.T0440","-","LmjF.28:144847..147569","LmjF.28.0440","LmjF.28:145102..147426","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.28.T0440.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.28.T0450","-","LmjF.28:147969..151065","LmjF.28.0450","LmjF.28:148074..150902","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.28.T0450.html"" target=""_blank""> Click for Additional information</a>","ribonuclease II-like protein, putative "
"LmjF.28.T0460","-","LmjF.28:151428..152840","LmjF.28.0460","LmjF.28:151642..152577","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.28.T0460.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.28.T0470","-","LmjF.28:153343..156516","LmjF.28.0470","LmjF.28:153942..156332","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.28.T0470.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.28.T0480","-","LmjF.28:157128..160143","LmjF.28.0480","LmjF.28:158035..159921","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.28.T0480.html"" target=""_blank""> Click for Additional information</a>","carbonic anhydrase-like protein "
"LmjF.28.T0485","-","LmjF.28:160531..162456","LmjF.28.0485","LmjF.28:161598..162281","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.28.T0485.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.28.T0490","-","LmjF.28:162788..166347","LmjF.28.0490","LmjF.28:164341..165909","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.28.T0490.html"" target=""_blank""> Click for Additional information</a>","propionyl-coa carboxylase beta chain, putative "
"LmjF.28.T0495","-","LmjF.28:166348..169513","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.28.T0495.html"" target=""_blank""> Click for Additional information</a>","N/A "
"LmjF.28.T0500","-","LmjF.28:169588..179641","LmjF.28.0500","LmjF.28:173812..175950","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.28.T0500.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.28.T0510","-","LmjF.28:180031..181850","LmjF.28.0510","LmjF.28:180231..181388","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.28.T0510.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.28.T0520","-","LmjF.28:182227..184175","LmjF.28.0520","LmjF.28:183048..183953","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.28.T0520.html"" target=""_blank""> Click for Additional information</a>","protein kinase, putative (LMAIRK) "
"LmjF.28.T0530","-","LmjF.28:184371..189406","LmjF.28.0530","LmjF.28:184982..189064","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.28.T0530.html"" target=""_blank""> Click for Additional information</a>","RAD50 DNA repair-like protein "
"LmjF.28.T0540","-","LmjF.28:189757..190486","LmjF.28.0540","LmjF.28:190086..190424","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.28.T0540.html"" target=""_blank""> Click for Additional information</a>","ribosomal protein S26, putative "
"LmjF.28.T0550","-","LmjF.28:190962..193569","LmjF.28.0550","LmjF.28:192069..193202","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.28.T0550.html"" target=""_blank""> Click for Additional information</a>","RAD51 protein, putative (RAD51) "
"LmjF.28.T0552","-","LmjF.28:193570..194464","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.28.T0552.html"" target=""_blank""> Click for Additional information</a>","N/A "
"LmjF.28.T0554","-","LmjF.28:194692..195367","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.28.T0554.html"" target=""_blank""> Click for Additional information</a>","N/A "
"LmjF.28.T0556","-","LmjF.28:195582..196364","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.28.T0556.html"" target=""_blank""> Click for Additional information</a>","N/A "
"LmjF.28.T0558","-","LmjF.28:196786..197794","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.28.T0558.html"" target=""_blank""> Click for Additional information</a>","N/A "
"LmjF.28.T0560","-","LmjF.28:198354..199864","LmjF.28.0560","LmjF.28:198508..199368","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.28.T0560.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.28.T0565","-","LmjF.28:199948..201022","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.28.T0565.html"" target=""_blank""> Click for Additional information</a>","N/A "
"LmjF.28.T0570","-","LmjF.28:201023..203969","LmjF.28.0570","LmjF.28:201489..203189","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.28.T0570.html"" target=""_blank""> Click for Additional information</a>","major surface protease gp63, putative "
"LmjF.28.T0580","-","LmjF.28:204597..212660","LmjF.28.0580","LmjF.28:205123..209862","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.28.T0580.html"" target=""_blank""> Click for Additional information</a>","mitogen-activated protein kinase, putative (MPK8) "
"LmjF.28.T0590","-","LmjF.28:212857..216037","LmjF.28.0590","LmjF.28:214227..215732","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.28.T0590.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, unknown function "
"LmjF.28.T0600","-","LmjF.28:216289..217093","LmjF.28.0600","LmjF.28:216691..216978","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.28.T0600.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.28.T0608","-","LmjF.28:217094..218048","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.28.T0608.html"" target=""_blank""> Click for Additional information</a>","N/A "
"LmjF.28.T0610","-","LmjF.28:218049..232567","LmjF.28.0610","LmjF.28:218968..231693","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.28.T0610.html"" target=""_blank""> Click for Additional information</a>","dynein heavy chain, putative "
"LmjF.28.T0620","-","LmjF.28:233022..238481","LmjF.28.0620","LmjF.28:233391..237338","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.28.T0620.html"" target=""_blank""> Click for Additional information</a>","protein kinase, putative "
"LmjF.28.T0630","-","LmjF.28:238923..241628","LmjF.28.0630","LmjF.28:240609..241268","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.28.T0630.html"" target=""_blank""> Click for Additional information</a>","ER lumen retaining receptor-like protein "
"LmjF.28.T0640","-","LmjF.28:241989..243344","LmjF.28.0640","LmjF.28:242708..242914","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.28.T0640.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.28.T0650","-","LmjF.28:243782..245616","LmjF.28.0650","LmjF.28:244097..245002","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.28.T0650.html"" target=""_blank""> Click for Additional information</a>","protein transport protein Sec13, putative "
"LmjF.28.T0660","-","LmjF.28:245961..247963","LmjF.28.0660","LmjF.28:246314..247336","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.28.T0660.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.28.T0668","-","LmjF.28:248145..248700","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.28.T0668.html"" target=""_blank""> Click for Additional information</a>","N/A "
"LmjF.28.T0670","-","LmjF.28:248701..251115","LmjF.28.0670","LmjF.28:249284..250366","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.28.T0670.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, unknown function "
"LmjF.28.T0680","-","LmjF.28:251140..252564","LmjF.28.0680","LmjF.28:251796..252497","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.28.T0680.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.28.T0690","-","LmjF.28:252872..257155","LmjF.28.0690","LmjF.28:254990..255895","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.28.T0690.html"" target=""_blank""> Click for Additional information</a>","serine/threonine protein phosphatase catalytic subunit, putative "
"LmjF.28.T0700","-","LmjF.28:257760..260107","LmjF.28.0700","LmjF.28:258105..259532","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.28.T0700.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.28.T0705","-","LmjF.28:260168..261821","LmjF.28.0705","LmjF.28:260915..261667","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.28.T0705.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.28.T0710","-","LmjF.28:262211..264715","LmjF.28.0710","LmjF.28:262851..264608","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.28.T0710.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.28.T0715",".","LmjF.28:264716..265228","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.28.T0715.html"" target=""_blank""> Click for Additional information</a>","N/A "
"LmjF.28.T0720","-","LmjF.28:265353..267811","LmjF.28.0720","LmjF.28:265910..267592","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.28.T0720.html"" target=""_blank""> Click for Additional information</a>","Sas10/Utp3/C1D family/Sas10 C-terminal domain containing protein, putative "
"LmjF.28.T0730","-","LmjF.28:268221..269314","LmjF.28.0730","LmjF.28:268733..269293","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.28.T0730.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.28.T0740","-","LmjF.28:269831..272070","LmjF.28.0740","LmjF.28:270655..271839","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.28.T0740.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.28.T0750","-","LmjF.28:272421..275444","LmjF.28.0750","LmjF.28:273835..274050","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.28.T0750.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.28.T0760","-","LmjF.28:275993..278672","LmjF.28.0760","LmjF.28:276113..278323","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.28.T0760.html"" target=""_blank""> Click for Additional information</a>","DNA repair protein, putative "
"LmjF.28.T0770","-","LmjF.28:278923..280525","LmjF.28.0770","LmjF.28:279049..280473","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.28.T0770.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.28.T0780","+","LmjF.28:282482..284108","LmjF.28.0780","LmjF.28:282705..284072","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.28.T0780.html"" target=""_blank""> Click for Additional information</a>","RNA polymerase I "
"LmjF.28.T0785","+","LmjF.28:281393..282330","LmjF.28.0785","LmjF.28:281564..282136","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.28.T0785.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.28.T0790","+","LmjF.28:284470..286625","LmjF.28.0790","LmjF.28:284515..286404","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.28.T0790.html"" target=""_blank""> Click for Additional information</a>","putative dual-specificity protein phosphatase, putative "
"LmjF.28.T0800","+","LmjF.28:286892..287733","LmjF.28.0800","LmjF.28:287077..287541","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.28.T0800.html"" target=""_blank""> Click for Additional information</a>","calmodulin-like protein "
"LmjF.28.T0810","+","LmjF.28:288289..289341","LmjF.28.0810","LmjF.28:288536..288985","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.28.T0810.html"" target=""_blank""> Click for Additional information</a>","RNA polymerase B subunit RPB8, putative "
"LmjF.28.T0820","+","LmjF.28:289651..291843","LmjF.28.0820","LmjF.28:289784..291298","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.28.T0820.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.28.T0822","+","LmjF.28:292326..293571","LmjF.28.0822","LmjF.28:292501..293262","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.28.T0822.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.28.T0825","+","LmjF.28:294276..296526","LmjF.28.0825","LmjF.28:294475..294903","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.28.T0825.html"" target=""_blank""> Click for Additional information</a>","RNA binding protein rbp16, putative "
"LmjF.28.T0830","+","LmjF.28:297245..300803","LmjF.28.0830","LmjF.28:298263..299861","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.28.T0830.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.28.T0832","+","LmjF.28:300804..304723","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.28.T0832.html"" target=""_blank""> Click for Additional information</a>","N/A "
"LmjF.28.T0835","+","LmjF.28:304724..306187","LmjF.28.0835","LmjF.28:305384..305917","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.28.T0835.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.28.T0840","+","LmjF.28:306516..309797","LmjF.28.0840","LmjF.28:306622..309231","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.28.T0840.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.28.T0850","+","LmjF.28:310142..314175","LmjF.28.0850","LmjF.28:310826..313735","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.28.T0850.html"" target=""_blank""> Click for Additional information</a>","DNA replication licensing factor MCM2, putative "
"LmjF.28.T0860","+","LmjF.28:314537..316452","LmjF.28.0860","LmjF.28:314479..315993","<a href=""http://leish-esp.cbm.uam.es/GrupoC_sub1/LmjF.28.T0860.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein "
